seed,timesteps,eval_return_mean,eval_return_std,rnd_prediction_error,policy_entropy,visited_states,auto_stop,stopped,method
0,1000,70.4,6.62117814289874,0.0029625032325857,0.6911716099977493,997,True,False,Automatic stopping
0,2000,139.8,52.83332281808518,0.0003497081421301,0.6789316543340683,1992,True,False,Automatic stopping
0,3000,218.8,42.02570641880991,0.0001725039359271,0.6482830372452736,2983,True,False,Automatic stopping
0,4000,227.8,102.04783192209426,0.0002156443103231,0.6399534499645233,3971,True,False,Automatic stopping
0,5000,500.0,0.0,0.0002030211016408,0.6338869923651218,4957,True,False,Automatic stopping
0,6000,266.8,65.29747315172311,0.0002767658820575,0.616805625975132,5942,True,False,Automatic stopping
0,7000,500.0,0.0,0.0001647670670481,0.6048778469711542,6935,True,False,Automatic stopping
0,8000,470.4,36.45051439966246,0.0001679527324386,0.6077026777267456,7924,True,False,Automatic stopping
0,9000,352.6,119.64380468707938,0.0002043730977093,0.5969698799103499,8921,True,True,Automatic stopping
1,1000,91.4,45.53064901799666,0.0029494053371963,0.6907047265172005,996,True,False,Automatic stopping
1,2000,89.2,29.61351043020736,0.000303124513357,0.6721839750409127,1990,True,False,Automatic stopping
1,3000,113.0,57.19440532080039,0.0001819224692244,0.6475798025429249,2984,True,False,Automatic stopping
1,4000,146.4,35.679686097273894,0.0001942724693381,0.6358336510956287,3974,True,False,Automatic stopping
1,5000,280.0,63.72754506490894,0.0001864461648583,0.6243043213486671,4960,True,False,Automatic stopping
1,6000,212.0,40.44749683231337,0.0002237595766246,0.6156920492351056,5957,True,False,Automatic stopping
1,7000,401.4,22.276444958745103,0.000198705054182,0.6086905451118946,6946,True,False,Automatic stopping
1,8000,328.2,89.6111600192744,0.0001412103564339,0.5950032747536897,7939,True,False,Automatic stopping
1,9000,314.4,96.13032820083367,0.0001055224165693,0.589162892907858,8924,True,False,Automatic stopping
1,10000,368.4,67.03610967232511,0.0001644819601806,0.5775792931765318,9917,True,False,Automatic stopping
1,11000,409.8,111.46730462337376,0.0001563280818372,0.5794332454204559,10913,True,False,Automatic stopping
1,12000,262.0,48.315628941368445,0.000180173814103,0.5989073343276977,11902,True,False,Automatic stopping
1,13000,424.4,71.31507554507672,0.0001101366973298,0.6012539640516043,12901,True,False,Automatic stopping
1,14000,479.4,41.2,0.0001156873427098,0.5825638196468353,13893,True,True,Automatic stopping
2,1000,60.4,13.52922762023021,0.0021389819123323,0.6906482216119766,993,True,False,Automatic stopping
2,2000,74.4,15.252540771950096,0.0002108261113062,0.6750562495589256,1988,True,False,Automatic stopping
2,3000,73.6,22.068982758613952,0.0001364700892413,0.6580636974871159,2976,True,False,Automatic stopping
2,4000,117.8,52.05919707410017,0.0001374270554242,0.6420619346201419,3960,True,False,Automatic stopping
2,5000,106.8,34.405813462262444,0.0001060528973812,0.622073995500803,4952,True,False,Automatic stopping
2,6000,225.6,85.82913258329015,0.0001643311584807,0.6142947392463685,5938,True,False,Automatic stopping
2,7000,478.0,44.0,0.0001960273718141,0.6128852144479752,6924,True,False,Automatic stopping
2,8000,490.8,18.4,0.0001857609369676,0.6067158768773079,7917,True,True,Automatic stopping
0,1000,70.4,6.62117814289874,0.0029625032325857,0.6911716099977493,997,False,False,Fixed budget
0,2000,139.8,52.83332281808518,0.0003497081421301,0.6789316543340683,1992,False,False,Fixed budget
0,3000,218.8,42.02570641880991,0.0001725039359271,0.6482830372452736,2983,False,False,Fixed budget
0,4000,227.8,102.04783192209426,0.0002156443103231,0.6399534499645233,3971,False,False,Fixed budget
0,5000,500.0,0.0,0.0002030211016408,0.6338869923651218,4957,False,False,Fixed budget
0,6000,266.8,65.29747315172311,0.0002767658820575,0.616805625975132,5942,False,False,Fixed budget
0,7000,500.0,0.0,0.0001647670670481,0.6048778469711542,6935,False,False,Fixed budget
0,8000,470.4,36.45051439966246,0.0001679527324386,0.6077026777267456,7924,False,False,Fixed budget
0,9000,352.6,119.64380468707938,0.0002043730977093,0.5969698799103499,8921,False,False,Fixed budget
0,10000,500.0,0.0,0.0001215569485912,0.5992659991532564,9899,False,False,Fixed budget
0,11000,381.2,96.53476057876767,0.0001505008061349,0.5905397264510394,10896,False,False,Fixed budget
0,12000,404.8,116.59571175647928,0.0001198168414648,0.5861154524832964,11882,False,False,Fixed budget
0,13000,500.0,0.0,9.265674663220124e-05,0.5851940108686685,12873,False,False,Fixed budget
0,14000,286.8,92.25920008324373,6.935401502300919e-05,0.5832279618680477,13864,False,False,Fixed budget
0,15000,378.2,106.34735539730173,0.0001074921239269,0.5700857306867838,14852,False,False,Fixed budget
0,16000,392.4,88.39140229682975,9.24503560534049e-05,0.5765128486901522,15847,False,False,Fixed budget
0,17000,355.4,70.38067916694183,7.138209322192779e-05,0.5762026593014598,16837,False,False,Fixed budget
0,18000,438.2,70.38295248140703,8.213527751854598e-05,0.5753227355778218,17831,False,False,Fixed budget
0,19000,396.8,98.7651760490508,9.661425978583794e-05,0.5663974652588367,18817,False,False,Fixed budget
0,20000,435.4,79.39672537327972,8.712986737828032e-05,0.565698325574398,19812,False,False,Fixed budget
0,21000,459.2,81.60000000000001,0.0001029992480007,0.5614712788090109,20794,False,False,Fixed budget
0,22000,446.8,66.14348040434523,8.615104436103138e-05,0.5824246165305376,21780,False,False,Fixed budget
0,23000,358.8,81.16008871360356,0.0001092473117473,0.5918110967874527,22777,False,False,Fixed budget
0,24000,497.2,5.6,9.643311108857232e-05,0.5969738384783267,23776,False,False,Fixed budget
0,25000,426.6,75.05891019725773,0.0001199359519969,0.5907063494175673,24769,False,False,Fixed budget
0,26000,252.6,16.942254867637896,0.0001044994778003,0.5868094685673714,25758,False,False,Fixed budget
0,27000,376.6,71.34872108174049,0.0001345988734856,0.5685063338875771,26751,False,False,Fixed budget
0,28000,406.4,76.96648621315643,0.0001080179368937,0.5619572990238667,27744,False,False,Fixed budget
0,29000,315.4,18.704010265181104,0.0001246240557798,0.5712664934694767,28734,False,False,Fixed budget
0,30000,444.8,55.33678704081039,8.222063105449706e-05,0.5720125049948692,29726,False,False,Fixed budget
1,1000,91.4,45.53064901799666,0.0029494053371963,0.6907047265172005,996,False,False,Fixed budget
1,2000,89.2,29.61351043020736,0.000303124513357,0.6721839750409127,1990,False,False,Fixed budget
1,3000,113.0,57.19440532080039,0.0001819224692244,0.6475798025429249,2984,False,False,Fixed budget
1,4000,146.4,35.679686097273894,0.0001942724693381,0.6358336510956287,3974,False,False,Fixed budget
1,5000,280.0,63.72754506490894,0.0001864461648583,0.6243043213486671,4960,False,False,Fixed budget
1,6000,212.0,40.44749683231337,0.0002237595766246,0.6156920492351056,5957,False,False,Fixed budget
1,7000,401.4,22.276444958745103,0.000198705054182,0.6086905451118946,6946,False,False,Fixed budget
1,8000,328.2,89.6111600192744,0.0001412103564339,0.5950032747536897,7939,False,False,Fixed budget
1,9000,314.4,96.13032820083367,0.0001055224165693,0.589162892907858,8924,False,False,Fixed budget
